cliente,recencia,frequencia,valor_monetario,periodo,grupo
166,21,10,125.955999,239,5
167,34,14,197.380714,239,5
194,170,4,70.284999,226,3
196,235,1,23.55,235,3
198,71,10,271.104999,201,5
201,3,3,130.913333,89,2
206,138,2,54.77,191,3
212,225,1,4.28,225,3
214,161,2,410.054997,175,4
215,232,2,132.89,233,3
224,5,21,32.939047,239,1
225,131,2,182.949999,137,3
227,171,10,51.902,242,3
228,14,15,79.221999,195,1
237,137,7,30.042857,239,3
246,14,21,27.864285,241,1
247,12,12,220.672499,220,5
324,16,6,121.331666,242,5
349,3,31,201.080644,236,1
361,89,9,39.815555,238,5
365,214,3,57.083333,240,3
369,114,10,119.202999,229,5
387,15,21,86.549047,239,1
535,237,1,306.67,237,3
637,52,12,20.0525,243,5
645,77,4,167.5375,227,5
648,17,1,190.379999,17,2
650,10,20,73.425999,239,1
653,136,1,4.99,136,3
656,157,1,32.27,157,3
657,2,1,25.08,2,2
658,152,5,18.324,219,3
666,63,2,19.2,201,5
675,14,7,46.037142,234,5
701,62,5,182.939999,191,5
703,70,17,123.082941,238,1
718,12,8,93.483749,240,5
779,121,4,22.1775,235,3
781,89,4,66.11,134,2
784,37,7,231.789999,186,5
793,1,18,74.512777,194,1
800,67,4,16.6175,238,5
801,82,2,179.98,82,2
804,179,1,99.9,179,3
815,199,1,10.9,199,3
823,3,2,55.35,152,5
824,52,7,33.797142,221,5
845,203,1,72.08,203,3
846,204,1,45.8,204,3
848,65,1,37.45,65,2
849,4,27,104.805555,242,1
959,3,7,116.264285,231,5
960,233,1,59.88,233,3
970,18,28,133.308571,243,1
975,27,18,117.927777,238,1
986,112,10,207.800999,236,5
989,49,1,101.86,49,2
992,102,5,81.204,229,5
995,30,10,93.651,231,5
997,3,6,203.006666,213,5
998,236,2,173.634998,241,3
999,9,20,260.732499,243,1
1000,14,18,26.547222,235,1
1006,26,12,161.558333,238,5
1015,238,2,118.49499900000001,239,3
1016,14,22,63.380454,225,1
1017,44,11,53.684545,215,5
1021,33,6,147.893333,225,5
1022,25,10,33.715999,225,5
1025,61,3,48.579999,191,5
1027,122,4,16.1475,204,3
1028,7,1,199.92,7,2
1029,63,1,109.95,63,2
1030,1,49,182.002448,235,1
1031,21,6,485.916666,236,4
1032,17,7,119.028571,223,5
1033,1,13,169.409999,225,5
1036,50,9,21.313333,220,5
1038,48,8,189.651249,232,5
1039,39,4,190.974999,205,5
1040,12,3,163.089999,191,5
1041,9,38,45.76,243,1
1043,113,13,127.058461,234,5
1044,125,3,203.556666,146,3
1045,7,9,34.044444,212,5
1046,4,19,203.324735,240,1
1048,17,7,492.314284,229,4
1049,24,10,232.111999,224,5
1050,16,5,92.517999,215,5
1051,4,10,57.477999,219,5
1052,19,14,75.745714,232,1
1053,191,3,17.303333,214,3
1054,13,12,178.625832,223,5
1055,36,19,54.684736,239,1
1056,209,5,89.767999,241,3
1057,23,8,211.034999,236,5
1058,206,3,201.863333,238,3
1059,218,1,38.16,218,3
1061,191,1,6.45,191,3
1062,83,11,81.400908,219,5
1064,53,8,104.882499,233,5
1065,48,7,524.42857,238,4
1066,84,3,181.513333,218,5
1067,178,6,104.446666,224,3
1068,2,12,173.890833,236,5
1071,3,17,75.702352,241,1
1073,18,10,57.353999,239,5
1074,178,6,62.661666,238,3
1076,5,6,205.663333,191,5
1077,25,6,128.343333,226,5
1078,237,2,259.605,238,3
